language: Dutch
"Import Presets" = "Importeer Presets"
"Import" = "Importeer"
"Select the folder which contains the presets..." = "Selecteer de map met de presets..."
"Folder:" = "Map:"
"Preset files not found in the selected folder." = "Preset-bestanden niet gevonden in de geselecteerde map.."
"Settings" = "Instellingen"
"Donate" = "Doneer"
"General" = "Algemeen"
"Help" = "Help"
"General Preferences" = "Algemene voorkeuren"
"Launch on system startup" = "Inschakelen bij opstarten van het systeem"
"Automatically switch to newly connected output device" = "Automatisch overschakelen naar \r\nnieuw aangesloten uitvoerapparaat"
"Hide help tips for audio controls" = "Verberg hulp tips voor audiobediening"
"Disable keyboard shortcuts" = "Schakel sneltoetsen uit"
"Reset presets to factory defaults" = "Reset presets naar fabrieksinstellingen"
"Turn FxSound On/Off" = "Schakel FxSound aan/uit"
"Open/Close FxSound" = "Open/Sluit FxSound"
"Use Next Preset" = "Gebruik Volgende Preset"
"Use Previous Preset" = "Gebruik Vorige Preset"
"Change Preset" = "Wijzig Preset"
"Change Playback Device" = "Wijzig Afspeelapparaat"
"Language" = "Taal"
"Disable debug logging" = Uitschakelen Debug logboekregistratie"
"Version" = "Versie"
"Support" = "Support"
"Maintenance" = "Onderhoud"
"Changelog" = "Wijzigingenlijst"
"Quick tour" = "Snelle rondleiding"
"Submit debug logs" = "Indienen debug-logboeken"
"Help center" = "Help centrum"
"Feedback" = "Feedback"
"Check for updates" = "Controleren op updates"
"Open" = "Open"
"Exit" = "Einde"
"Turn Off" = "Uitschakelen"
"Turn On" = "Inschakelen"
"Preset Select" = "Preset Selecteren"
"Playback Device Select" = "Afspeelapparaat selecteren"
"Enter your preset name" = "Voer uw preset naam in"
"Enter new preset name" = "Voer een nieuwe presetnaam in"
"Overwrite Existing Preset" = "Overschrijf bestaande Preset"
"Save New Preset" = "Opslaan nieuwe preset"
"Undo Preset Changes" = "Ongedaan maken Preset veranderingen"
"Rename Preset" = "Hernoem Preset"
"Delete Preset" = "Verwijder Preset"
"Download Bonus Presets" = "Download Bonus Presets"
"FxSound is unable to play processed audio through the selected output device.\r\nAnother application could be using it in exclusive mode or the device could be\r\ndisconnected. To disable exclusive mode follow these " = "FxSound kan bewerkte audio niet afspelen via het geselecteerde uitvoerapparaat.\r\nEen andere toepassing kan het in de exclusieve modus gebruiken of het apparaat kan\r\nlosgekoppeld zijn.. Om de exclusieve modus uit te schakelen, volgt u deze "
"steps." = "stappen."
"Click here to save new presets, overwrite old ones, or reset your settings." = "Klik hier om nieuwe presets op te slaan, oude te overschrijven of uw instellingen te resetten."
"Settings file not found!" = "Instellingen bestand niet gevonden!"
"FxSound is now open-source" = "FxSound is nu open source"
"Press Ctrl + Alt/Shift + 0-9/A-Z to change the hotkey" = "Druk op Ctrl + Alt/Shift + 0-9/A-Z om de sneltoets te wijzigen"
"FxSound does not support mono devices, so FxSound processing had been disabled for this device." = "FxSound ondersteunt geen mono-apparaten, dus de FxSound-verwerking is uitgeschakeld voor dit apparaat."
"Minimize Button" = "Minimaliseerknop"
"Output device" = "Uitvoerapparaat"
"Select preferred output" = "Selecteer gewenste uitvoer"
"Preferred output:" = "Gewenste uitvoer:"
"None" = "Geen"
"Newly connected output device" = "Nieuw aangesloten uitvoerapparaat"
"Hide notifications" = "Meldingen verbergen"
