language: [پارسی]
"Duplicate presets not imported" = "تنظیمات تکراری وارد نشدند"
"Import Presets" = "وارد کردن تنظیمات"
"Import" = "وارد کردن"
"Select the folder which contains the presets..." = "پوشه‌ای که شامل تنظیمات است را انتخاب کنید..."
"Folder:" = "پوشه:"
"Preset files not found in the selected folder." = "فایل‌های تنظیمات در پوشه انتخابی پیدا نشد."
"Settings" = "تنظیمات"
"Donate" = "کمک مالی"
"General" = "عمومی"
"Help" = "راهنما"
"General Preferences" = "تنظیمات عمومی"
"Launch on system startup" = "راه‌اندازی در هنگام شروع سیستم"
"Automatically switch to newly connected output device" = "تغییر خودکار به دستگاه خروجی تازه متصل شده"
"Hide help tips for audio controls" = "پنهان کردن نکات راهنما برای کنترل‌های صدا"
"Disable keyboard shortcuts" = "غیرفعال کردن میانبرهای صفحه‌کلید"
"Reset presets to factory defaults" = "بازنشانی تنظیمات به پیش‌فرض کارخانه"
"Turn FxSound On/Off" = "روشن/خاموش کردن FxSound"
"Open/Close FxSound" = "باز کردن/بستن FxSound"
"Use Next Preset" = "استفاده از تنظیمات بعدی"
"Use Previous Preset" = "استفاده از تنظیمات قبلی"
"Change Playback Device" = "تغییر دستگاه پخش"
"Language" = "زبان"
"Disable debug logging" = "غیرفعال کردن ثبت اشکال‌زدایی"
"Version" = "نسخه"
"Support" = "پشتیبانی"
"Maintenance" = "نگهداری"
"Changelog" = "تغییرات نسخه"
"Quick tour" = "مرور سریع"
"Submit debug logs" = "ارسال گزارش اشکال‌زدایی"
"Help center" = "مرکز راهنما"
"Feedback" = "بازخورد"
"Check for updates" = "بررسی برای بروزرسانی"
"Open" = "باز کردن"
"Exit" = "خروج"
"Turn Off" = "خاموش کردن"
"Turn On" = "روشن کردن"
"Preset Select" = "انتخاب تنظیمات"
"Playback Device Select" = "انتخاب دستگاه پخش"
"Enter your preset name" = "نام تنظیمات خود را وارد کنید"
"Enter new preset name" = "نام جدید تنظیمات را وارد کنید"
"Overwrite Existing Preset" = "بازنویسی تنظیمات موجود"
"Save New Preset" = "ذخیره تنظیمات جدید"
"Undo Preset Changes" = "بازگردانی تغییرات تنظیمات"
"Rename Preset" = "تغییر نام تنظیمات"
"Delete Preset" = "حذف تنظیمات"
"Download Bonus Presets" = "دانلود تنظیمات اضافی"
"FxSound is unable to play processed audio through the selected output device.\r\nAnother application could be using it in exclusive mode or the device could be\r\ndisconnected. To disable exclusive mode follow these " = "FxSound قادر به پخش صدای پردازش شده از طریق دستگاه خروجی انتخاب شده نیست.\r\nممکن است برنامه دیگری از آن در حالت انحصاری استفاده کند یا دستگاه\r\nقطع شده باشد. برای غیرفعال کردن حالت انحصاری این مراحل را دنبال کنید."
"steps." = "مراحل."
"Click here to save new presets, overwrite old ones, or reset your settings." = "برای ذخیره تنظیمات جدید، بازنویسی تنظیمات قدیمی یا بازنشانی تنظیمات خود اینجا کلیک کنید."
"Settings file not found!" = "فایل تنظیمات پیدا نشد!"
"FxSound is now open-source" = "FxSound اکنون متن‌باز است"
"Press Ctrl + Alt/Shift + 0-9/A-Z to change the hotkey" = "Ctrl + Alt/Shift + 0-9/A-Z را فشار دهید تا کلید میانبر را تغییر دهید"
"FxSound does not support mono devices, so FxSound processing had been disabled for this device." = "FxSound از دستگاه‌های مونو پشتیبانی نمی‌کند، بنابراین پردازش FxSound برای این دستگاه غیرفعال شده است."
"Minimize Button" = "دکمه کوچک کردن"
"Output device" = "دستگاه خروجی"
"Select preferred output" = "انتخاب خروجی مورد نظر"
"Preferred output:" = "خروجی مورد نظر:"
"None" = "هیچ"
"Newly connected output device" = "دستگاه خروجی متصل شده جدید"
"Hide notifications" = "مخفی کردن اعلان‌ها"

